x coord, y coord, z coord, scalar
3.62, 0, 0, 2.035707276
3.63, 0, 0, 2.035545707
3.64, 0, 0, 2.035384138
3.65, 0, 0, 1.994982741
3.66, 0, 0, 1.994821172
3.67, 0, 0, 1.994659603
3.68, 0, 0, 1.994498034
3.69, 0, 0, 1.994336465
3.7, 0, 0, 1.994174896
3.71, 0, 0, 1.9537735
3.72, 0, 0, 1.953611931
3.73, 0, 0, 1.953450362
3.74, 0, 0, 1.953288793
3.75, 0, 0, 1.953127224
3.76, 0, 0, 1.912725827
3.77, 0, 0, 1.912564258
3.78, 0, 0, 1.912402689
3.79, 0, 0, 1.91224112
3.8, 0, 0, 1.871839723
3.81, 0, 0, 1.871678154
3.82, 0, 0, 1.871516585
3.83, 0, 0, 1.871355016
3.84, 0, 0, 1.871193447
3.85, 0, 0, 1.871031878
3.86, 0, 0, 1.830630482
3.87, 0, 0, 1.830468913
3.88, 0, 0, 1.830307344
3.89, 0, 0, 1.830145775
3.9, 0, 0, 1.789744378
3.91, 0, 0, 1.789582809
3.92, 0, 0, 1.78942124
3.93, 0, 0, 1.789259671
3.94, 0, 0, 1.789098102
3.95, 0, 0, 1.788936533
3.96, 0, 0, 1.748535136
3.97, 0, 0, 1.748373567
3.98, 0, 0, 1.748211998
3.99, 0, 0, 1.748050429
4, 0, 0, 1.707649033
4.01, 0, 0, 1.707487464
4.02, 0, 0, 1.707325895
4.03, 0, 0, 1.707164326
4.04, 0, 0, 1.707002757
4.05, 0, 0, 1.66660136
4.06, 0, 0, 1.666439791
4.07, 0, 0, 1.666278222
4.08, 0, 0, 1.666116653
4.09, 0, 0, 1.665955084
4.1, 0, 0, 1.665793515
4.11, 0, 0, 1.625392118
4.12, 0, 0, 1.625230549
4.13, 0, 0, 1.62506898
4.14, 0, 0, 1.624907411
4.15, 0, 0, 1.624745842
4.16, 0, 0, 1.584344446
4.17, 0, 0, 1.584182877
4.18, 0, 0, 1.584021308
4.19, 0, 0, 1.583859739
4.2, 0, 0, 1.58369817
4.21, 0, 0, 1.543296773
4.22, 0, 0, 1.543135204
4.23, 0, 0, 1.542973635
4.24, 0, 0, 1.542812066
4.25, 0, 0, 1.502410669
4.26, 0, 0, 1.5022491
4.27, 0, 0, 1.502087531
4.28, 0, 0, 1.501925962
4.29, 0, 0, 1.501764393
4.3, 0, 0, 1.461362997
4.31, 0, 0, 1.461201428
4.32, 0, 0, 1.461039859
4.33, 0, 0, 1.46087829
4.34, 0, 0, 1.460716721
4.35, 0, 0, 1.420315324
4.36, 0, 0, 1.420153755
4.37, 0, 0, 1.419992186
4.38, 0, 0, 1.419830617
4.39, 0, 0, 1.419669048
4.4, 0, 0, 1.379267651
4.41, 0, 0, 1.379106082
4.42, 0, 0, 1.378944513
4.43, 0, 0, 1.378782944
4.44, 0, 0, 1.378621375
4.45, 0, 0, 1.378459806
4.46, 0, 0, 1.33805841
4.47, 0, 0, 1.337896841
4.48, 0, 0, 1.337735272
4.49, 0, 0, 1.337573703
4.5, 0, 0, 1.297172306
4.51, 0, 0, 1.297010737
4.52, 0, 0, 1.296849168
4.53, 0, 0, 1.296687599
4.54, 0, 0, 1.29652603
4.55, 0, 0, 1.256124633
4.56, 0, 0, 1.255963064
4.57, 0, 0, 1.255801495
4.58, 0, 0, 1.255639926
